ID,Name
"OUTPWIRDIA_NOM2","Ausgangs-Leiterquerschnitt (nom.) 2"
"COMM.PRODFEATURES","Produktmerkmale"
"COMM.ENVIRO","Umgebung"
"COMM.DIRFORUSE","Gebrauchsanleitungen"
"COMM.SYSTEM","System"
"LEADWIRDIA_MAX2","Eingangs-Leiterquerschnitt (max.) 2"
"COMM.UNIQSELLPTS","Alleinstellungsmerkmale"
"OPERCOND","Betriebsbedingungen"
"NOTE","Hinweis"
"LOOPTHR","Möglichkeit zur Durchgangsverdrahtung"
"REGMETH","Regulierungsmethode"
"RECNTC","Empfohlener NTC-Typ"
"RECDIM","Liste empfohlener Dimmer (TE)"
"PSDIMOPT","Voreingestellte Dimmoption"
"LSF6000P","LSF Warm 6kh Nenn-, 3h"
"WIRFRM","Drahtgestellversion"
"WIRINS","Kabelisolierung"
"SUITFIXCLS","Geeignet für Aufsatz-Schutzklasse"
"DIAG","Diagnose"
"AUXOUTISO","Hilfsausgang isoliert"
"ADJOUTCUR","Einstellbarer Ausgangsstrom"
"COMPATDIM","Kompatible Dimmer"
"COLSTABIND","Farbstabilitätsindex"
"AUXOUTNON","Hilfsausgang nicht isoliert"
"GALVISO","Galvanische Trennung"
"ESDSUSC","ESD-Störanfälligkeit"
"CONFIGINT","Konfigurationsschnittstelle"
"LSTYPE","Typ der Lichtquelle"
"LSCLASS","Lichtquellen-Klasse"
"HOUSFORM","Formfaktor Gehäuse"
"LLMF2000","Strahlungsrückgang nach 2000h"
"LI10PR","Lebensd.10%Ausfallr. Warm EL3h"
"DIAMD_MAX","Durchmesser D [inch] (Max)"
"PEAKIGN_MIN","Zündimpulsspannung (min.)"
"PEAKIGN_NOM","Zündimpulsspannung (Nom)"
"PEAKIGN_MAX","Zündimpulsspannung (max.)"
"LIFEL50T50","Lebensdauer bis 50 % Anfangslichtfluss bei 50°C"
"LMAIN10US","Lebensdauer bis 10 % Restlichtstrom"
"TCMODCOFF","Modultemperaturschutz"
"PLA-SOXE","Lampenleistung für SOX-E"
"PLODP-CDM","Energieverlust für CDMe/CPO beim Dimmen"
"BALLTYPE","Vorschaltgerätetyp"
"PLODP-CDO","Energieverlust für CDO beim Dimmen"
"LEADWIRDIA","Hauptkabeldurchmesser"
"HOUSINGDIM","Abmessungen Gehäuse"
"WAVEL_NOM","Wellenlänge (Nom)"
"CVRMAT","Material optische Abdeckung/Linse"
"MECHACC","Mechanisches Zubehör"
"LIFE100_NOM","Nennlebensdauer (Nom)"
"US-CATALOGNUMBER","Handelsgesetzbuch"
"STRAINBIGP","Große Parabel"
"LAMPFAM","Lampenfamiliencode"
"GEAR","Betriebsgerät"
"LAMVEL35","Lampenspannung EL 35°C"
"TEMPINCH_MAX","Quetschungstemperatur (max.)"
"CQC-MARK","CQC-Zeichen"
"TESTSURGPC","Überspannungstest-Leistungskriterium"
"POWEREQUIV","Äquivalente Leistung"
"TEMPINCH_MIN","Quetschungstemperatur (min.)"
"TEMPINCH_NOM","Quetschungstemperatur (Nom)"
"CABL","Kabel"
"KOMBI","Kombipack"
"STARTTIME_NOM","Startzeit (Nom)"
"STARTTIME_MAX","Startzeit (max.)"
"UVCRADIA","UV-C-Strahlung"
"WIDTH","Breite"
"TOTWIDTH","Gesamte Breite"
"DESA-MARK","Design Awards"
"LAMPSTAT","Lampenstatus"
"ECON-MARK","Wirtschaftskennung"
"CENLUM","Leuchtenmittelpunkt"
"LOUT1MIN","Nomineller Lichtstrom nach 60 Sekunden"
"PCKCONF","Aubau Verpackung"
"LOCKRING","Sicherheits-Befestigungsring"
"LIFE100_MAX","Nennlebensdauer (max.)"
"LR2","Lichtsteuerung 2"
"LIFE100_MIN","Nennlebensdauer (min.)"
"LENCABX1","Kabellänge X1"
"DUPLICODE","Verdopplungscode"
"CEILPRFL","Deckenprofil"
"CAPBASE","Sockel"
"WIRGAUGE_NOM","Leitungsdicke (Nom)"
"WIRGAUGE_MAX","Leitungsdicke (max.)"
"CAPCATNUM","Katalognummer Kondensator"
"LUMFLRS","Lichtstromeinstellung(en) im 90°-Konus (nom.)"
"SKEWNESS_MAX","Schräge (max.)"
"FAMNAME","Familienname"
"WIRGAUGE_MIN","Leitungsdicke (min.)"
"NOLOADPROT","Leerlauf-Schutz"
"SUPVIGN_NOM","Zündspannung (Nom)"
"SUPVIGN_MAX","Zündspannung (max.)"
"SUPVIGN_MIN","Zündspannung (min.)"
"LIFEL50T25","Lebensdauer bis 50 % Anfangslichtfluss bei 25°C"
"PULSEVOLT_MIN","Impulsspannung (min.)"
"NRLED","Anzahl von LEDs"
"PRT-PLTC","Lampen-Nennleistung für PL-T/C"
"FILDIMEN","Glühfadenabmessungen BxH"
"PRODLENG","Produktlänge"
"LPHOT90","Lebensdauer bis 90 % Photonenfluss"
"SSW","getrennt schaltbar"
"PLO-SOXE","Energieverlust für SOX-E"
"HOTWRG","Verdrahtung beim Betrieb"
"FADERATEUP","Einblendrate"
"OUTPWIRDIA_MIN","Ausgangs-Leiterquerschnitt (min.)"
"OUTPWIRDIA_NOM","Ausgangs-Leiterquerschnitt (Nom)"
"OUTPWIRDIA_MAX","Ausgangs-Leiterquerschnitt (max.)"
"FILSHAPE","Glühfadenform"
"PRT-TL-D","Lampen-Nennleistung für TL-D"
"PLO-TL5HE","Energieverlust für TL5 HE"
"LEADWIRLEN","Hauptkabellänge"
"CIRCUIT","Schaltkreis"
"OPERPOS","Betriebsstellung"
"PLO-TL5HT","Energieverlust für TL5 HT"
"OUTPCURR_NOM","Ausgangsstrom (Nom)"
"OUTPCURR_MAX","Ausgangsstrom (max.)"
"STILTSIDE","Standardaufneigung Ansatzmontage"
"LIFEL70T25","Lebensdauer bis 70 % Anfangslichtfluss bei 25°C"
"PLO-TL5HO","Energieverlust für TL5 HO"
"HOUSLENGTH","Gehäuselänge"
"XUCDM.COPY.DTN","Gesamtbezeichnung des Produkts"
"LECAPA_MAX","Sockel - Sockel A - Abstand (Max)"
"LECAPA_MIN","Sockel - Sockel A - Abstand (Min)"
"COLTEMP","Init. korr. Farbtemperatur"
"MAXCBLLENH","Leitungslänge Hot Wire"
"LMPSUPVOLT","Lampenversorgungsspannung"
"XUCDM.COPY.FK_FG_LP_SMART_PRODUCT","Intelligente FG-Produkte"
"LECAPA_NOM","Sockel - Sockel A - Abstand (Nom)"
"SDCM","Standardabweichung Farbabgleich"
"LINEVOLT","Eingangsspannung"
"ACCMV","Zubehör enthalten"
"PHILCODE","Philips-Code"
"LUMIN120US","Lichtstärke @ 120V"
"OPTMAT","Optisches Material"
"OPT","Optiktyp"
"FIXMAT","Befestigungsmaterial"
"DIMMABLE","Dimmbar"
"FWIDB2","Befestigungslochabst B2 Breite"
"TOTLENGTH","Gesamte Länge"
"DIAM","Durchmesser"
"OPTA","Optische Einheit A"
"OPTB","Optische Einheit B"
"OPTC2","Optik 2"
"TOTDIAM","Gesamter Durchmesser"
"SHAPE","Leuchtenform"
"RTLMPPWRGR","Spezifizierte Lampenleistung des Vorschaltgeräts"
"LSF12000P","LSF Warm 12kh Nenn-, 3h"
"LRTYP","Typ der Lichtregelung"
"EXPCLS","Explosionsgefahrenklasse"
"LAMPHLDR","Lampenhalterung"
"INPCUR_NOM","Eingangsstrom (Nom)"
"INPCUR_MAX","Eingangsstrom (max.)"
"STRT","Starter"
"PLACCCLR","Pole accessory color"
"LSF30000","LSF 30kh Nenn-, 12h, S.ho."
"SKG-MARK","SKG Zeichen"
"PLA-PL-T","Lampenleistung für PL-T"
"PLA-PL-S","Lampenleistung für PL-S"
"LUMFLUX10000","Sys.nennlichtstrom EM25°C@10kh"
"PLA-PL-L","Lampenleistung für PL-L"
"INPCUR_MIN","Eingangsstrom (min.)"
"TEMPCAP_NOM","Sockeltemperatur (Nom)"
"OPTDISTRIB","Optische Lichtverteilung"
"TEMPCAP_MAX","Sockeltemperatur (max.)"
"TEMPCAP_MIN","Sockeltemperatur (min.)"
"PLO-CDO","Energieverlust für CDO"
"PLO-CDM","Energieverlust für CDM"
"SPACING","Abstandsmodul"
"UVBRADI5E","UV-B-Strahlung 5 Std. (IEC)"
"PROTLEVLN_MAX","Schutzstufe oben (L-N) bei 5 kA (max.)"
"INPTAWG","Leitungsquerschnitt primär"
"ANGLE","Winkel"
"PLDRTYP","Pole door type"
"ISOLCLASS","Isolationsklassifizierung"
"PLCPTYP","Pfahlsockeltyp"
"FIXATION","Befestigungstyp"
"CEILACC","Zubehör für Deckenmontage"
"PLA-PL-C","Lampenleistung für PL-C"
"CCY_NOM","Farbkoordinate Y (Nom)"
"CCY_MAX","Farbkoordinate Y (max.)"
"CCY_MIN","Farbkoordinate Y (min.)"
"CCX_NOM","Farbkoordinate X (Nom)"
"CCX_MAX","Farbkoordinate X (max.)"
"CCX_MIN","Farbkoordinate X (min.)"
"LIFEUSE_MIN","Nutzlebensdauer (min.)"
"INCURWIPFC","Stromaufnahme mit Leistungsfaktor-Kompensation"
"LIFESYST10","Lebensdauer System 10%Ausfallr"
"CAPVAL","Kondensatorwert"
"OPTCLOSED","IP optisches Element"
"LIFEUSE_NOM","Nutzlebensdauer (Nom)"
"LIFEUSE_MAX","Nutzlebensdauer (max.)"
"PROJBRD","Strahlermarke"
"INPPOW_MAX","Eingangsleistung (max.)"
"INPPOW_MIN","Eingangsleistung (min.)"
"PLODP-SON","Leistungsverlust SON beim Dimmen"
"ACCCLR","Zubehörfarbe"
"PRT-TL5C","Lampen-Nennleistung für TL5C"
"INPPOW_NOM","Eingangsleistung (Nom)"
"DRVCURRENT","Treiberstrom"
"PLO-TL5","Energieverlust für TL5"
"RDDA-MARK","ReddotDesign Award"
"DISTRIB","Händler"
